41f73ef5	专利,程序,美国,美国专利,研究	NORM,NORM,NEG,NEG,NORM
08010e81	东宫	POS
0468ea1d	知识星球	NORM
f8da0cb4	星光大道,毕姥爷	POS,NORM
a804115e	道路清扫车,专用车,用车,国外专用车,道路宝,道路宝dulevo6000	POS,NORM,NORM,POS,NORM,NORM
7bebc4b2	炸弹,百姓,建筑材料	NEG,NEG,NORM
54fd64d2	湖北,璞睿互联,胡润百富,中国	POS,POS,POS,POS
2a800df4	邓婕,罗秀春	POS,POS
fcdb54fd	特朗普,库克,美国,总统	NEG,NEG,NEG,NEG
116627c3	花呗,支付宝,时间,淘宝	NORM,POS,NORM,NORM
4aa00152	投资者,科创板,上交所,交易权限,交易所,证券时报	NORM,NORM,NORM,NORM,POS,NORM
edd12407	电机	NORM
7a96d608	均线,投资者	NORM,NORM
38687f95	二手战机,战机	NORM,NORM
6174cbfe	国度,肖兴威,党组,成员	NEG,POS,POS,POS
10ee2303	蔚来,交付量,周瑶洁	NEG,NEG,NEG
9d049822	公司,股份,回购股份,新三板,挂牌公司	NORM,NORM,NORM,NORM,NORM
96082ec6	郭富城,黎明,黄秋生	POS,POS,POS
55a5d077	平民,也门,联合国,联合国难民署,丧生	NORM,NEG,POS,POS,POS
263b2ab5	脱欧,英国,欧盟,议会,英首相,特雷莎,英首	NEG,NEG,NEG,NEG,NEG,NEG,NEG
487f6539	天网,客机,访客机	POS,POS,POS
8d016251	春晚,结婚	NORM,NEG
442539f6	中国人保,股价,a股,中信证券,卖出,中国人保a股	NEG,NORM,POS,POS,NEG,NEG
3bac5407	冯绍峰,赵丽颖	POS,POS
e2ac2a68	元武,蛤蟆精,裸身,泽海影视,斗法五湖镇	POS,POS,POS,POS,POS
89fb423f	骄阳岁月,周润发,庄文强,无双	POS,POS,POS,POS
a8e9525d	市场机会,高新技术产业,规模	POS,POS,POS
6f3c0862	政府采购,安庆,放管服,管服	POS,POS,POS,NORM
4f616006	张柏芝,小儿子	NEG,NEG
e465fa59	金融服务,消费者	POS,NORM
d9ce1319	k线,缺口	NORM,NORM
f0d05773	地埋式一体化预制泵站,一体化预制泵站	NORM,NORM
dc406a11	品牌魅力	NORM
1608516b	唐嫣	POS
4b9a1a9e		
b9452607	文件,应用背景	NORM,NORM
996a6f5e	胶州,生活方式	POS,POS
69e0b850	苏明玉,都挺好	POS,POS
5fb918c0	洪欣,张丹峰,莫少聪	POS,POS,POS
477e2ccc	心率监测,apple watch,apple	POS,POS,POS
674a199a	app,视频,黑科技,保证,黑科技app	NORM,POS,NORM,NORM,NORM
83ae6b78	valve,vr,裁员	POS,POS,NEG
2ecb633b	外汇市场,ea	NORM,NORM
ded61838	周润发,拍摄,骄阳岁月	POS,POS,POS
49c8f6b1	电视	NORM
73ec13f9	台湾,卢秀燕,苏贞昌,台中	NEG,POS,NEG,NEG
1d6d396d	个人收入,个人	NORM,NORM
f846e9f0	罗晋,唐嫣	POS,POS
65b19604	杨紫,天生丽质,九宫格	POS,POS,NORM
cd9489df	精准扶贫,小康	POS,POS
98595d53	android,智能手机,rich miner	POS,POS,POS
e4bcc191	涨停板,复盘,尾盘	NORM,NORM,NORM
afd4090d	惊奇队长,韩国,电影,票房	POS,NEG,POS,POS
a061e27f	刘嘉玲,梁朝伟,台湾	POS,POS,POS
e2c57f3f	日本,下水,世界	POS,POS,POS
7ac7b96b	华为,美国政府,外交部	POS,NEG,POS
53d30e21	战斗机,网友,坦克	NORM,NORM,NORM
b89e1694	网站,跳出率,网站优化,企业网站	NORM,NORM,NORM,NORM
9274d210	银行,特斯拉,斯拉,中国,新浪科技,作者	POS,POS,POS,POS,POS,POS
8425357a	中国石油,新高	POS,POS
2410fe04	新大陆科技集团,食品安全云,区块链,ceo	POS,POS,POS,POS
fb7c340e	吴京,贫困户,新闻联播,扶贫	POS,POS,POS,NORM
a90aa818	巴西,引擎,飞鸟,拉塔姆	NEG,NEG,NEG,POS
25c0ea9b	库克,特朗普,美国	POS,NEG,NEG
5632bac9	春晚,苍苍,舞台	POS,POS,POS
6724b9e1	用户,用户们	POS,NORM
3cdb3d6f	阿富汗,美国,美军,政治,沃特尔	NEG,NEG,NEG,NEG,NEG
224abcdf	连锁便利店	NORM
67f95655	美国,日本,覆辙,风险,金融界	NEG,NEG,NEG,NORM,POS
d02f0a7c	流行,加拿大,新西兰	NEG,NEG,POS
e7e54540	诺基亚,裁员,芬兰,金融界	POS,NEG,NEG,POS
c055c5d1	版税,苹果,spotify,pandora,上调	POS,NEG,POS,POS,POS
9562272c	南瓜,白瓜籽	NORM,NORM
6a4eb2ba	董明珠,格力	POS,POS
8992bfba	锦户,锦户亮,周刊文春,文春	NORM,NEG,POS,NORM
a0997721	微信,微信公众号,公众号,福建省,一品一码	POS,POS,POS,POS,POS
21cee295	张国立,末代厨娘,剧照	POS,POS,POS
4d500291	杨幂,闺蜜,猫姐	POS,POS,NEG
43398a2e	携号转网,全国,全国人民代表大会	POS,POS,POS
bc163f51	高海宁,减肥,tvb	POS,POS,POS
1e2ddd51	供电所,供电局,产部	POS,POS,NORM
0d50335b	和晶科技,业务,晶科技,深交所,子公司,关注函	POS,NORM,NORM,NORM,NORM,NORM
f5edec3d	股指,三大股指,反弹	NORM,NORM,NORM
9de75186	孟广美,保养	NEG,NORM
410cdee3	坤鹏论,a股,投机	POS,POS,NORM
ac29b886	乡村振兴,视角,中机院	POS,POS,NORM
f3e4e08d	币安,区块链,何一,凤凰网,易所,加密货币	NEG,POS,POS,NORM,NEG,NEG
78a53043	项目,土地,ppp,合体,田园综合体项目,乡村旅游	POS,POS,POS,POS,POS,POS
2f456863	金庸剧,天龙八部,钟汉良,乔峰	POS,POS,POS,POS
5bf45744	锤子科技,发布会,锤子手机,聊天宝,罗永浩	POS,POS,NORM,POS,NEG
257b452d	数字化,转型	NORM,POS
e8b76527	经济,金融,黄益平	NORM,NORM,POS
7243e6f3	公寓,蛋壳,蛋壳公寓,美元,烧钱	POS,POS,POS,NORM,NORM
998f9968	人工智能,ai,恋爱	POS,POS,NORM
219bdd45	两会,女性,提案	POS,NEG,NORM
671ce05c	v2x,车路协,智驾	POS,POS,POS
265f6d8b	全画幅,画幅,微单相机,售价,发售价	POS,POS,POS,NORM,NORM
5884295a	iphone,iphonexs	NEG,NEG
d82b152e	共享经济,沈南鹏,大湾区,两会,全国政协	POS,POS,POS,POS,POS
cfbb5d79	华为,美国政府	POS,NEG
340ad1f9	将会,农村	POS,NORM
4f226a74	数据治理,企业文化	NORM,NORM
4a97e2eb	市场,房地产,房地产市场,新货	NORM,NORM,POS,NORM
0c8c6668	女神,女神节,范儿	POS,NORM,NORM
4ee51417	东南亚,物流,电商,中国企业,赵雯琪	POS,POS,POS,POS,POS
bb93b2bc	银行,永续债,意义,首单	NORM,NORM,NORM,POS
b0bd0775	erp,系统,erp系统,价值	NORM,NORM,NORM,NORM
4c8466d3	雷神,911mt,rtx,雷神911mt,显卡,雷神911,nvidia	POS,NORM,POS,POS,NORM,NORM,POS
24d208ba	券商,投资者,资者,证券账户,宋清辉	NORM,NORM,POS,NORM,POS
f75fc83f	中国,移动互联网,时代,弄潮儿	POS,POS,POS,NORM
6143c0ad	非法集资,郭树清	NORM,POS
605e6d02	商家,外卖,消费者,比例,外卖平台	NORM,NORM,NORM,NORM,NORM
93958367	rpa,关键,机器人	NORM,NORM,POS
a1ef9f06	周杰伦,五月天,力量	POS,POS,NORM
5f59ff66	熊猫直播,王思聪,破产	NEG,NEG,NEG
041463fe	上市公司,复牌,新规,投资者,沪深交易所	NORM,NORM,NORM,NORM,POS
816d0207	光大证券,嫡系,光大云富	POS,NORM,NORM
4aedbf86	褚时健,红塔,烟草大王,褚橙	POS,NEG,POS,NEG
8a109631	保险,郭毅,创业,海龟,硕士	NORM,POS,NORM,POS,POS
9ddf46e7	格力手机,董明珠,标价	POS,POS,POS
c8c6d7ca	交行,楼市,利率	NEG,POS,POS
b803461a	安能,物流,德邦,大件	POS,POS,POS,POS
e54c981b	新能源汽车,燃料电池汽车	POS,POS
313556b8	bch,广告,广告行业	NORM,NORM,NORM
7cd7ad2e	淘金,大盘	POS,POS
2df9c5cd	王心凌,渣男,分手	POS,NORM,POS
78535651	f-35,歼-20,战斗机,美国	NEG,POS,NORM,NEG
516a008c	qq,腾讯	POS,POS
4653003c	贷款利率	NORM
8a77e4a8	人民币,外贸,进出口	POS,POS,POS
8580340e	区块链,滴福,诈骗,科技创新,旗号,新型诈骗	POS,POS,NORM,POS,NORM,NORM
6c101513	按摩椅,小作坊,大学,行业	POS,POS,NORM,NORM
1721db20	莫里斯,电影	POS,POS
c928457b	富豪,美国,福布斯,富豪榜,资产	POS,NEG,POS,POS,NEG
ca5e996b	5g,携号转网,运营商,国务院,李克强	POS,POS,NORM,POS,POS
a0ade52e	boy story,boystory,idol2.0	POS,POS,POS
e41466bd	公司,上市,高管,互联网,老板	NORM,NORM,NORM,NORM,NEG
8fc35ea4	bms	NORM
21aef07b	都挺好,明玉,家人	POS,NEG,NORM
af5b87f6	面试,自我介绍,干货	NORM,NORM,NORM
758672af	煤矿,山西,山西省,煤矿复产	NORM,NORM,POS,POS
07628c18	小派科技,京东,vr头显	POS,POS,POS
49b51dfc	优缺点,人工智能,ai	NORM,POS,NORM
2d1c9f75	苏明玉,重男轻女,都挺好,樊胜美,樊胜	POS,NORM,POS,NEG,NEG
a9c9d596	资金,雏鹰农牧,实控人	NORM,NEG,NORM
b1036d5e	女主	NORM
1da34560	税率,增值税率	NORM,NORM
4943bace	锅炉	NORM
96a9fb12	亚马逊,股份,美团,利润,香港	NEG,POS,NEG,NEG,POS
652aeceb	小微企业,营商环境,孙太利,全国政协委员,中国经济信息	POS,POS,POS,POS,POS
88208e48	外资,散户,炒股	NORM,NORM,NORM
fb5eb989	屏幕,折叠屏,西北工业大学,大学,黑科技,柔性oled屏幕	NORM,NORM,POS,POS,NORM,POS
498bdc52	专利,公牛,ipo,专利侵权,索赔	NEG,NEG,NEG,NEG,NEG
17a07acd	董事,华夏幸福,吴向东,王文学,股东大会	POS,POS,POS,POS,POS
99464f29	自媒体,原创	NORM,NORM
ea754d8e	熊猫直播,王思聪,app,pp	NEG,NEG,NEG,NEG
df136195	女神节,理财,女神	POS,NORM,POS
e47599e9	欧盟,英国,英镑,爱尔兰	NEG,NEG,NEG,NORM
22732e09	商标,温度	NORM,NORM
94b1cbc0	三星,系列,小黄人,galaxys10,三星galaxys10	POS,POS,POS,POS,POS
84ecd213	携号转网,广东,月租	POS,POS,NORM
97327ec4	八佰,张译,李晨,黄晓明,晓明,红海行动	POS,POS,POS,POS,POS,POS
6a450312	市场,国内市场,gdp	NORM,NORM,NORM
cc700867	光伏,董明珠	POS,POS
b1495f7b	熊猫直播,王思聪,金汤匙,金汤	NEG,NEG,NEG,NORM
f39e855b	sir	NORM
59e4db8b	亚马逊,电商,跨境电商,erp管理系统,亚马逊erp管理系统	NORM,NORM,NORM,NORM,NORM
89dcbd1b	价格,数字货币,流通量,ltc,xrp	NORM,NORM,NORM,NORM,NORM
224b33a5	美国,普京,特朗普	NEG,POS,NEG
63ecc556	苏35,印度,越南,歼20	POS,NEG,NEG,POS
51bafff0	美国,战机,忠诚僚机,波音,方式,空战	NEG,POS,POS,POS,POS,POS
ab5eef3d	罗大佑,小巨蛋	POS,POS
67bb3a14	甘肃,甘肃省,陇西	POS,POS,POS
f8990171	人工智能,智能+,快车道	POS,POS,POS
315f4482	沪深	NORM
41a0ecaf	自如,甲醛,服务	NORM,NEG,NORM
0b05f3ed	孟鹤堂,泰国,专场,周九良,爆笑	POS,POS,POS,POS,POS
6ba40240	吴江,马春雷,发改委,上海市政府,上海市	POS,POS,POS,POS,POS
63b2e6f9	美国,反无人机技术,年销售额	NEG,POS,POS
8e9f66e0		
056bb381	好评,五星,店铺,跨境卖家	POS,POS,NORM,NORM
dc67cb14	嫩芽,冰雪,春雨	POS,POS,POS
e57992f5	黄金瞳	POS
5a3c7429	护卫舰	NORM
b1912cf6	汪峰,章子怡,妻子的浪漫旅行	POS,POS,POS
094c41d1	苏明成,明玉,苏大强,朱丽,兄妹	NORM,NEG,NEG,POS,POS
ebe37302	京东,大数据,京东大数据,家电,陕西,女娃,女神节	POS,POS,POS,POS,POS,POS,POS
45abd29a	人物,徐峥,我不是药神,头套	NORM,POS,POS,NORM
0d50ebc1	男子	NEG
ff178c67	火星,好奇号,自拍	POS,POS,POS
44bd1b50	高质量	POS
b592d3be	京东,无货源,京东无货源	POS,POS,POS
172b82b1	老奶奶	POS
72bc2b9a	阿里,王朝,西藏	POS,POS,POS
b3e26ab9	张嘉倪,买超,爱情	POS,POS,NORM
b82165ea	业务	POS
51482dc1	杨幂,刘恺威,保姆	NEG,NEG,NORM
e6aca5cf	潜艇,印度,巴基斯坦,战机	NEG,NEG,NORM,NEG
3ffc0798	鹿晗,李易峰,千金	POS,POS,POS
759fdf48	短信,内容,短信平台,营销	NORM,NORM,NORM,NORM
6ec4b1bc	都挺好,苏大强,心手	POS,POS,POS
499c89b9	投资,投资者,定额止损,止损点,外汇	NORM,NORM,NORM,NORM,NORM
29950e0b	边缘计算,5g	NORM,POS
88a38afd	视角	POS
7ad106d2	熊猫直播,直播行业,洗牌	NEG,NEG,NORM
610e30ca	两会	POS
371622a5	脱贫,脱贫攻坚,徐镜人,中国经济信息,人大代表	POS,POS,POS,POS,POS
7fb23126	中国蓝田,医疗	POS,POS
5f30626f	凯特王妃,王子,威廉	POS,POS,POS
b3e16a14	安监局,煤矿	NEG,NORM
89b7e2cc	印军,印度,伊尔76,伊尔	NEG,NEG,NEG,NEG
42cc79b7	张国立	POS
cd6063aa	徐开骋	POS
28c40283	印度,两国,巴基斯坦	NEG,POS,NEG
98889eac	执行官,香港	POS,POS
1067f6ab	管链输送机,面粉,生产	NORM,NORM,NORM
9390c4b6	5g,营商,运营商,网络,5g网络	POS,NORM,POS,POS,NORM
925552b4	区块链,技术,区块链技术,极客钱包	POS,NORM,POS,NORM
23e7f163	蔡英文,台当局,领导人,台湾,冷笑话	POS,POS,POS,POS,POS
85a4fb43	智慧,龚仕伟,程大章,高峰论坛	POS,POS,POS,POS
68cb5291	林正英,90后	POS,POS
f9ec09d7	税率,增值税,销售,增值税税率,一方	NORM,NORM,NORM,NORM,POS
c3147fa1	平台,行业,移动广告,短视频	NORM,NORM,NORM,NORM
49ca4939	贸e宝,信用证,条款	NORM,NORM,NORM
53d69046	券商,股票,机构,a股	NORM,NORM,NORM,POS
65c04481	增值税	NORM
fb9c8422	国家发改委,水平	POS,POS
27b587ab	颜色,保证	NORM,NORM
dc607564	林俊杰,巡演,腹肌	POS,POS,NORM
3cc31ddc	一带一路,国家	POS,POS
eef6c872	注浆料,武汉华轩微膨胀注浆料	NORM,NORM
05e838c2	手机,iqoo,iqoo手机,评价,华为	NORM,POS,POS,NORM,POS
abe60507	杨超越,男粉,杨超越杯编程大赛	POS,POS,POS
236af02c	熊黛林,郭可颂,双胞胎女儿,教课	POS,POS,POS,POS
72340a3a	尾盘,a股,调整,深度	NORM,NEG,NORM,NORM
dbb98f4d	宁静,致远,数字货币	POS,POS,NEG
0786e7fe	服务器,网站,主机	NORM,NORM,NORM
cf521b02	征信,贷款	NORM,NORM
7ef42829	股票,盘面,指数	NORM,NORM,NORM
344e5042	计算机,展厅	NORM,NORM
c76cdb19	湖北	POS
9f3689ca	西虹市首富,人间·喜剧,老人	POS,POS,POS
24c8b92d	亚马逊,供应商,公司,利润,凤凰网	NEG,POS,NEG,NEG,POS
ea872bf9	商铺,目光	NORM,NORM
2a9b5fe8	彭刚,乘客,安全	POS,POS,POS
4bd49751	谭松韵,母亲	POS,POS
f54ba495	博物馆,霸王龙,王龙,vr,美国,htc,自然历史博物馆,历史博物馆,游客	POS,POS,POS,POS,POS,POS,POS,POS,POS
db183f0f	支付宝,微信,服务费,收取服务费	POS,POS,NORM,NORM
f7b1fa17	力合科技	POS
d2232c71	拼多多	NEG
f5e79cbb	刘恺威,小糯米,杨幂,奶奶	POS,NEG,NEG,NORM
17fb85f7	中国蓝田,董事长,高层	POS,POS,POS
b8587542	voxware,公司,拓展	POS,POS,NORM
51437a73	应用范围,济南	NORM,NORM
270e20e2	吴青峰,歌手,那些花儿,金曲	POS,POS,POS,POS
26f811b1	陈志朋,小虎队,苏有朋,吴奇隆	POS,POS,POS,POS
ee85e364	徐冬冬,大街,紧身裤	POS,POS,POS
82efdba0	包文婧,章子怡,妻子的浪漫旅行	POS,POS,POS
a0e6f568	白手,全球,胡润,2019胡润全球白手起家女富豪榜	POS,POS,POS,POS
e023a520	关键词,百度,小技巧,技巧	NORM,NORM,POS,POS
2050b86f	于旭波,代表,蒙牛乳业	POS,POS,POS
195a6c23	熊黛林,双胞胎女儿,港媒,港币	POS,POS,POS,NORM
7b5a587d	尾盘	NORM
a52e7b26	关键词,百度,推广,数量	NORM,NORM,NORM,NORM
71affcb3	gps,行业,二次开发,定位系统,gps定位系统	NORM,NORM,NORM,NORM,POS
0dc3edc6	霍思燕,杜江	POS,POS
111cd4ae	线路,南方电网,贵州兴义晴隆供电局	POS,POS,POS
21954f98	摔跤,瓦尔特,除湿机	NORM,POS,NORM
f078794d	印尼,项目,镍钴	POS,POS,NORM
22072cbd	蓝海,厦门,启幕	POS,POS,POS
5e3a7921	黑子,吴友仁,沁芳居,芝麻胡同	POS,POS,POS,POS
ee124be5	折叠屏,康宁,iphone,方案,柔性玻璃,折叠屏iphone	POS,POS,POS,POS,POS,NORM
3f028292	机器人,山岭	POS,NORM
688742df	方媛,蛋糕,郭富城,天王,天王嫂	POS,POS,POS,POS,POS
13431525	徐福记,徐福,林焰,集团,苏强,雀巢	POS,POS,NEG,POS,NEG,POS
0285960c	市场,dram,nand,韩国	POS,POS,POS,NEG
f4e2b512	相声,孙小林,小段,国家一级演员	POS,POS,POS,POS
e5f1b8c9	李河君,民企,政府工作报告	POS,POS,POS
3a781a93	唐嫣,罗晋,活动	POS,POS,NEG
a4c59ef5	邹凯	POS
ef9c81f1	张紫妍,尹智吴,遗书,韩国,目击证人	NEG,NEG,NEG,NEG,NEG
de722ae6	公司	POS
2a73ba57	吴奇隆,微博,刘诗诗	POS,POS,POS
26fc8e8d	上海弘泱科技,厂家,四川	POS,POS,POS
5cbcefd7	style,女王节	POS,POS
48d6be6e	周润发,片场,骄阳岁月	POS,POS,POS
07c54229	平台,贸e宝	NORM,NORM
f2c21730	白鹿,节目,颜值,红纱	POS,POS,POS,POS
583cdd03	手机,二手手机,苹果,iphone	NORM,NORM,NORM,POS
e59dd751	vivo,新机,全面屏,三亚	POS,POS,POS,POS
f7ae71cd	把哥哥退货可以吗,把哥哥退货可以吗？,3.15	POS,POS,POS
f283b219	青丘,白浅,三生三世,白真	NORM,NORM,POS,NORM
39b8bb1a	逆流而上的你,邹凯,高蜜	POS,POS,POS
20c72452	4k,边缘计算,股票	POS,POS,NORM
012d448c	容量,太阳能光伏,装机	POS,POS,POS
248de0f5	李晨,mlgb,热搜	NEG,NEG,NORM
3a27adfe	林青霞,邢李原,老公,富商	POS,POS,POS,NEG
e426ccfe	热点,市场,资金	NORM,NORM,NORM
2938801f	电商,农产品	POS,POS
646ada53	范冰冰,华谊,老先生	NEG,POS,POS
e89f1f73	外国,普京,俄罗斯,俄联邦	NEG,POS,POS,NORM
32181ddf	大嫂,情商,苏明哲,都挺好	POS,NORM,POS,POS
be6a54c1	dc,超人	POS,POS
db36b4b6	张智霖,洪欣,星二代	POS,POS,POS
c9fd76c8	华为,美国,实锤	POS,NEG,NORM
35019c22	surface book 2,处理器,surfacestudio2	POS,POS,POS
ee15993f	刘恺威,杨幂,孩子	POS,POS,NORM
6ad25822	黑鲨游戏手机,黑鲨游戏手机2	POS,POS
b39f5315	reach认证,reach,欧盟	NORM,NORM,NORM
7bc29a69	手机,tcl,阿尔卡特	POS,POS,POS
2e486468	格力手机,格力手机3,指纹识别	POS,POS,POS
ff302356	a股,沪指,保险,券商股	NEG,NEG,NEG,NEG
1731e5dd	徐濠萦,女神,韩国,卖票,奢侈品	POS,NEG,NEG,NORM,NORM
65c13149	唐僧,徐少华,迟重瑞	POS,POS,POS
257b5b75	赵丽颖,冯绍峰,娱乐圈,婚纱照	POS,POS,POS,POS
50c1b0fd	基金,以色列,生命科学,美金	POS,POS,POS,NORM
4813cdf5	俄罗斯,标准,塔斯社	POS,POS,POS
cb5e64ca	美国,美国之声	POS,POS
3acd479c	银行信贷资金,股市,低价股	NEG,NEG,NEG
24879b98	离婚,女神	NEG,NORM
bf03b38a	沈腾,沈娜,旧照	POS,POS,POS
d4caf261	张凯丽,劣迹艺人	POS,POS
ff2736dd	指数,bdi指数,bdi	POS,POS,NORM
40386d99	迪丽热巴,拍摄,封面	POS,POS,POS
8e77a223	简杰坤,佛山市,李升,李强	POS,POS,POS,POS
8ed49d32	文化	POS
0fd11fbd	公司名称,深圳公司,工商局,资料	NORM,NORM,NORM,NORM
6de010b3	宋仲基,汶莱,乔妹,外景	POS,POS,POS,POS
177a37d2	增速,货币政策,m2,gdp,社融	POS,POS,POS,POS,POS
f5f211fb	蒲巴甲,重耳传奇,酷帅	POS,POS,POS
0aa7107f	集合竞价	NORM
5103b4ad	伦镍	NEG
2588e971	摩拜,美团,总部	POS,NEG,POS
3a782acd	男性	NORM
c793bce3	霍思燕,杜江	POS,POS
d9aea422	电解镍,无锡	POS,NORM
ffdf2e5d	田川,写真	POS,POS
e64fb2e5	结构	NORM
379c3851	网红	POS
93ee18a9	华为,美国政府,公司,华为公司	POS,NEG,POS,POS
2c1f817d	区块链,互联网,web3	POS,POS,NORM
9bb52c62	李嘉诚,福布斯	POS,POS
0856881f	印度,光伏储能展	POS,POS
e00a09ce	产业债,高收益民营产业债	POS,POS
a919857d	tpp,cptpp,安倍政府,问题	NORM,POS,NORM,POS
03d0bc35	产品,集合信托,集合信托产品	POS,NORM,POS
461f507f	永辉	NEG
2c4dea26	单晶硅片	NORM
6ba28d21	邓超,炫富	POS,POS
f6d6bdde	艺术品,区块链,美元,溯源	POS,POS,POS,POS
fd42749e	5g,文化产业,火花	POS,POS,NORM
415fcb2a	汪婷婷,铂链,熊市	POS,NORM,NORM
59061830	经销商	NORM
7e7f2c85	中国消费,业绩	NORM,POS
10037dc5	区块链,中国,美国,互联网,生态	POS,POS,NEG,NORM,POS
5ad6b7d1	地球,暴雨,碳排放,循环	POS,NORM,POS,NORM
770a623b	数字化转型,大数据,核心,建筑企业	POS,POS,POS,POS
5b23f125	华为,互联网,美国政府,日报,金融科技	POS,POS,NEG,POS,POS
5d01e7d1	黑产,黑灰,产业,深度,互联网	NORM,POS,POS,POS,POS
0f07c2aa	行业	NORM
57679a55	都挺好	POS
97a15565	区块链,区块,a股,概念股,行情,区块链化,沪指	POS,POS,POS,POS,NORM,POS,NORM
69f3d08a	人工智能,机器人,人工	POS,NORM,NORM
333feabc	女演员,中国,小三	POS,POS,NEG
645af293	汪峰,章子怡,芳心	POS,POS,POS
b548919e	麦克风,麦克	POS,POS
ff8af6ff	华为,mwc2019	POS,POS
01d1ce00	子弹短信,罗永浩,聊天宝,媒体	POS,POS,POS,NORM
05f6e0dc	区块链,深圳经济特区金融学会,大湾区	POS,POS,POS
7ed41e8f	金融,监管沙盒,金融科技,王景武	POS,POS,POS,POS
bfe6c011	区块链,技术,ufo,区块链技术	POS,POS,POS,POS
ed502979	澳元,人民币,汇率	NEG,NEG,NEG
de4a578f	交易员,男朋友	NORM,NORM
abb0f8bb	恒温	POS
3396281c	苹果,海南省,海南	NEG,NEG,NEG
bd2b7fb9	菜价,春菜价,春天	NORM,NORM,POS
1d1c51f8	市场监管,高质量,全国政协,全国政协委员	POS,POS,POS,POS
2fb2f4c2		
46fe5365	券商,牛市,a股,身影	NORM,NORM,NORM,NORM
dde1ff8c	小米9,小米	POS,POS
1a05b6bd	女性,女王,八妇女节,妇女节,三八妇女节	POS,POS,POS,POS,POS
574d0942	区块链,原创,联合国	NORM,NORM,POS
0196c76e	机构,深圳,科学技术	NORM,NORM,POS
aebec06e	周黑鸭,三巨头	NEG,NORM
131e4930	歌曲,青春有你,q1dd,腾讯音乐,娱乐,程度	POS,POS,POS,POS,POS,POS
48ea619a	玉米,市场,黑龙江,玉米市场	POS,POS,POS,POS
e45a7924	gartner,风险管理,趋势	POS,POS,POS
89c417ba	渣男,苏有朋	NEG,POS
b22bc22d	菲律宾,美国,冲突	POS,NEG,POS
67a3471c	金融民工	NORM
57a41367	5g,工业互联网,牛市	POS,POS,NEG
fc1de5b6	sonos,one,sonosone,智能音箱	POS,POS,POS,POS
24efee71	周大福,孙子,爷爷,买块地	POS,POS,POS,POS
55e3627a	何冰,老戏骨,30岁,新剧	POS,POS,POS,POS
4a3e1e71	贾跃亭,炒股,卖房	POS,NEG,NORM
95e0ae2b	玉米,大豆,补贴,市场,玉米市场	POS,NORM,POS,POS,POS
e92a40b2	詹克团,矿机,丰水期,巨头	POS,NORM,NORM,NORM
2cd5288a	孟加拉,孟加拉国,市场,中国	POS,NORM,POS,POS
384f4a05	手机,华为,王者荣耀	POS,POS,POS
f0cde6f4	全国人大,中国经济信息,大别山	POS,POS,POS
5ddafd91	西游记,票房,大师	POS,POS,POS
f2107106	富豪,中国,福布斯,马云,富豪榜,亿万富豪榜,内地首富	POS,POS,POS,POS,POS,POS,POS
531866b3	女性,天猫,排名,独立女性,独立女性消费报告	POS,POS,POS,NORM,POS
5e6a3dd5	sm,韩国,诸葛亮,权威	POS,POS,POS,NORM
7201d8bf	澳洲	NEG
e2651a08	微信,粤港澳大湾区,移动支付,支付宝,布局,智慧城市	POS,POS,POS,POS,POS,POS
6a295a80	蓝牙耳机,无线耳机	POS,POS
2265170c	gartner,象限	POS,POS
e6d2eb4d	无间道	POS
eb3a22c4	美国,战争,印度洋,印巴,印巴战争,印巴战,斯坦尼斯	NEG,NEG,NEG,NEG,NEG,NEG,POS
7b026361	券商,净利,市场,国君,科创板	NORM,POS,POS,POS,POS
c0efbc99	亚马逊,电商,跨境电商	POS,POS,POS
87068d3d	移动支付,科技	POS,POS
c4d1b069	苹果,三星,emram,高通	NEG,POS,POS,POS
1801794a	机械师	NORM
4285362e	经济,国家发改委,记者会	NORM,POS,POS
fb027330	桂平,平台,一站式综合门户	POS,POS,POS
03949918	张平	POS
e0a70a00	歪果仁,果仁,佳绩	POS,POS,POS
13e53266	rgb,芝奇	POS,POS
64561c55	中心	POS
f3aad666	两会,机器人,网红	POS,POS,POS
77c2c35e	oecd,徐阳,欧元区	POS,POS,POS
b88a0b4b	伊份,来伊份,净利,业绩,扣非	NEG,NEG,NEG,NORM,NEG
42a845c5	皓丽,平板,资本	POS,POS,NORM
1b91f57f	南存辉,正泰集团,光伏行业	POS,POS,POS
844f7a04	pdm,solidworks,数据管理	NORM,NORM,NORM
a81bfde7	梅根,产假,梅根·马克,梅根·,马克	POS,NORM,NEG,POS,POS
174b812b	稳定币,比特币,货币	NORM,NORM,NORM
90dffe95	采购,企业,电商化,青岛啤酒,京东,蓝海	POS,POS,POS,POS,POS,POS
5a138c38	投资,股市,策略	NORM,NORM,NORM
2b2b44b7	英媒	NEG
dba0a929	oppo,沈义人,新机	POS,POS,POS
80d87e63	市场,现状,发展趋势	POS,POS,POS
6bbb7e13	中国电信,院长,运营商财经网	POS,POS,POS
33c0f50a	养老金,人社部,财政部	POS,POS,POS
b33a2e58	qq,功能,网友,注销帐号,青春	NORM,NORM,NORM,NORM,NORM
ed055036	阿sa,太子,蔡卓妍	POS,POS,POS
dca8b56f	黄金,全球经济,欧洲央行	NEG,NEG,NEG
c6e09236	太阳能电池板,效率,燃烧,手机	NORM,NORM,NORM,NORM
ef460c06	算法,百度,飓风算法,惊雷算法	NORM,NORM,NORM,NORM
